community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iYL1228	iNRG857_1313	M_nh4_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_orn_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_pi_e	0.5	0.48	1	0.24
all	minimal	iYL1228	iNRG857_1313	M_ptrc_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_pyr_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_ser__L_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_thymd_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_urea_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_uri_e	0.5	0.06	1	0.03
all	minimal	iYL1228	iNRG857_1313	M_xan_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_12ppd__S_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_LalaDgluMdapDala_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_LalaDgluMdap_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_acald_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_ade_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_adn_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iUMNK88_1353	M_agm_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_ala__D_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_alaala_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_arg__L_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iUMNK88_1353	M_asn__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_asp__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_cgly_e	0.5	0.17	1	0.085
all	minimal	iYL1228	iUMNK88_1353	M_cit_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iUMNK88_1353	M_cys__L_e	0.5	0.55	1	0.275
all	minimal	iYL1228	iUMNK88_1353	M_cytd_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iUMNK88_1353	M_dha_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_etha_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_etoh_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_g3pe_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_g3pg_e	0.5	0.25	1	0.125
all	minimal	iYL1228	iUMNK88_1353	M_glu__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_gly_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iUMNK88_1353	M_glyald_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_glyc3p_e	0.5	0.24	1	0.12
all	minimal	iYL1228	iUMNK88_1353	M_glyc__R_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_glyc_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_gthrd_e	0.5	0.28	1	0.14
all	minimal	iYL1228	iUMNK88_1353	M_gua_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_h_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_his__L_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_ins_e	0.5	0.06	1	0.03
all	minimal	iYL1228	iUMNK88_1353	M_lac__D_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_nh4_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iUMNK88_1353	M_orn_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_pi_e	0.5	0.48	1	0.24
all	minimal	iYL1228	iUMNK88_1353	M_ptrc_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_pyr_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_ser__L_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iUMNK88_1353	M_thymd_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_urea_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_uri_e	0.5	0.06	1	0.03
all	minimal	iYL1228	iUMNK88_1353	M_xan_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_ac_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_adn_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_akg_e	0.5	0.12	1	0.06
all	minimal	iCN900	iNRG857_1313	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_arg__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_asn__L_e	0.5	0.05	1	0.025
all	minimal	iCN900	iNRG857_1313	M_asp__L_e	0.5	0.19	1	0.095
all	minimal	iCN900	iNRG857_1313	M_cys__L_e	0.5	0.43	1	0.215
all	minimal	iCN900	iNRG857_1313	M_etoh_e	0.5	0.23	1	0.115
all	minimal	iCN900	iNRG857_1313	M_for_e	0.5	0.04	1	0.02
all	minimal	iCN900	iNRG857_1313	M_glu__L_e	0.5	0.09	1	0.045
all	minimal	iCN900	iNRG857_1313	M_gly_e	0.5	0.22	1	0.11
all	minimal	iCN900	iNRG857_1313	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_gthrd_e	0.5	0.57	1	0.285
all	minimal	iCN900	iNRG857_1313	M_h_e	0.5	0.1	1	0.05
